Question,Confirmation,Factoid,List,Causal,Hypothetical,Complex
Is Bristol larger on the Gloucester or Somerset side of the Avon River?,1,0,0,0,0,0
Why did Bermuda join CARICOM?,0,0,0,1,0,0
Why can Koch's postulates be applied ethically for many reptile diseases?,0,0,0,1,0,0
Why did e Melo demarcate the region for production of Port?,0,0,0,1,0,0
Do we think they're really responsible for the collapse?,1,0,0,0,0,0
Are the speed limits on I-19 marked in miles or kilometers?,1,0,0,0,0,0
Why was this constitutional convention held?,0,0,0,1,0,0
Is LaserDisc quality consistent or inconsistent between player brands?,0,1,0,0,0,0
Do people look forward to Cinderella matches?,1,0,0,0,0,0
Did the British protect Burma as a colony during the Second World War?,1,0,0,0,0,0
Is the top quartile of HDI considered 'high' or 'very high' human development?,1,0,0,0,0,0
Are there official political parties in a non-partisan system?,1,0,0,0,0,0
Name a parasitic ectosymbiont.,0,1,0,0,0,0
Why is Liaoning not assigned to any of China's operation fleets?,0,0,0,1,0,0
Why are the use of rifles banned?,0,0,0,1,0,0
Do children or adolescents tend to associae with friends of the opposite sex more?,0,0,0,0,0,1
Why did Cubans come to the United States?,0,0,0,1,0,0
Do hemimetabolous insects change quickly or gradually?,1,0,0,0,0,0
Has reproduction changed the original characteristics of animals?,1,0,0,0,0,0
Why did defence infrastructure become the major source of Bermuda's economy?,0,0,0,1,0,0
The suprachiasmatic nucleus is a small part of what part of the brain?,0,1,0,0,0,0
Was the new Regulating Bill of 1793 passed or defeated?,1,0,0,0,0,0
In the modern era has any non-league team reached the quarter finals??,0,0,0,0,0,1
Why did President Levin believe there were so few Yale alumni presidential candidates?,0,0,0,1,0,0
Why were laws limiting people of color passed?,0,0,0,1,0,0
Is a trade union governed by the Office of the Scottish Charity Regulator?,1,0,0,0,0,0
Why were the displays of the ten Commandments allowed?,0,0,0,1,0,0
Is the video gallery installed automatically or separately?,1,0,0,0,0,0
"In the modern era, did a non- league team reach the quarterfinals??",0,0,0,0,0,1
Is there a greater or smaller number of Jews who speak Yiddish today than in the past?,1,0,0,0,0,0
Does a High Speed CD-RW drive write faster on ReWriteable CDs or High Speed ReWritable CDs?,0,0,0,0,0,1
Was the power of the 5 countries constant?,0,0,0,1,0,0
Why is gram-negative cell bacteria more toxic than gram-positive bacteria?,0,0,0,1,0,0
Do detritivores have a direct impact on \donor\ organisms?,0,0,0,0,0,1
What is Feynman's sister's name?,0,1,0,0,0,0
Did the two thieves drink the wine or refuse it?,1,0,0,0,0,0
Does cold or warm air facilitate the transport of water vapor?,0,0,0,1,0,0
Describe Gaddafi's first experience with education.,0,1,0,0,0,0
Did the rapid rise of motor vehicle ownership and highway developments lead to an increasing or declining inner city population?,0,0,0,1,0,0
Are there studies on Hispanic-American language?,0,1,0,0,0,0
What earned the title as best all-around subnotebook/ultraportable?,0,1,0,0,0,0
Is LaserDisc quality consistent or inconsistent between player brands? ,0,0,0,0,0,1
"What if every human suddenly became immune to all diseases, what would be the impact on health care?",0,0,0,0,1,0
Can query languages be adjusted?,0,0,0,0,0,1
Has a woman ever broadcast a match?,1,0,0,0,0,0
A version of baseball played in city streets was nicknamed was in the 1930s?,0,1,0,0,0,0
Why did living standards decline in 1980s Libya?,0,0,0,1,0,0
Name two of the metropolitan areas that are most often appreciated by tourists in Myanmar?,0,0,1,0,0,0
Why isn't transnational policing so unaccountable?,0,0,0,1,0,0
Traditional homelands of Talick people included?,0,1,0,0,0,0
Is maplewood diffused-porous or ring-porous?,1,0,0,0,0,0
Name one second-generation technology that is market ready.,0,1,0,0,0,0
What is the term for the building boom erected many fine buildings?,0,1,0,0,0,0
Are there university programs in Yale residential colleges?,1,0,0,0,0,0
Should alcohol be used to clean gramophone recordings?,1,0,0,0,0,0
Why is Captain Fritz Joubert Duquesne famous?,0,0,0,1,0,0
Why did the Latin Americas Upper class support coup o'etats?,0,0,0,1,0,0
Why have people never reported zinc intoxication?,0,0,0,1,0,0
"Did MUSE have a target market, large or small, even in Japan?",0,0,0,0,0,1
Has the seamount always been above sea level?,1,0,0,0,0,0
Does God Have a Sex?,1,0,0,0,0,0
Why does Berlin start a National Cyber Defense Initiative?,0,0,0,1,0,0
Is not dating until a certain age a common sense or culturally-relative standard?,0,0,0,0,1,0
What was the honor granted a Vestal?,0,1,0,0,0,0
How many clubs competed in 20011-12?,0,1,0,0,0,0
Does IRENE require the ability to touch the media?,1,0,0,0,0,0
Why did Republicans say they made the motion to contest Boxer?,0,0,0,1,0,0
Were these new inhabitants welcomed?,1,0,0,0,0,0
Why do migrating land birds avoid large water bodies or mountain ranges?,0,0,0,1,0,0
Did the UN troops or Chinese troops experience more war casualties?,0,0,0,0,0,1
What applies well to coding standard compression tasks?,0,1,0,0,0,0
The US revival of Georgian architecture is referred to as was,0,1,0,0,0,0
Why was the X-Gerat frequencies used more?,0,0,0,1,0,0
Has the demand for horse-hair bangles increased or decreased?,1,0,0,0,0,0
Why was dBASE unsuccessful?,0,0,0,1,0,0
Are the parties required to disclose their funding?,1,0,0,0,0,0
What would the impact on wildlife conservation be if animals could communicate their needs to humans?,0,0,0,0,1,0
The Simpson has a character that was set to graduated from Yale University can you guess his name?,0,1,0,0,0,0
Name one of the genres from any of the Digimon video games?,0,1,0,0,0,0
When was the Battle of the Styles contested?,0,1,0,0,0,0
Have any other countries ever competed?,1,0,0,0,0,0
Is religion also represented on this cloth symbol of the French?,1,0,0,0,0,0
Is statistical mechanics asymmetric or symmetric in regards to time-reversal?,1,0,0,0,0,0
What did Freddie Mercury die of?,0,1,0,0,0,0
What does a single species dominating the area help promote in a community?,0,1,0,0,0,0
Are there any cruise travel destinations for Myanmar?,1,0,0,0,0,0
What rformation took place in the 1600's?,0,1,0,0,0,0
Why did CBC move The National in some areas?,0,0,0,1,0,0
Describe some side effects?,0,0,1,0,0,0
Were the elections held in an unbiased manner Burma in 2010?,1,0,0,0,0,0
Was there anything good that could not be found from the divergence into exchange?,0,0,0,1,0,0
Is airway obstruction reversible in asthma?,1,0,0,0,0,0
Who replaced Kinnock?,0,1,0,0,0,0
Why was the east creating a war?,0,0,0,1,0,0
Are pesticides chemical or biological agents?,0,1,0,0,0,0
Do LaserDiscs or DVDs use analog videos?,1,0,0,0,0,0
What would be the consequences if the gravity was half as strong as it is now? (replies),0,0,0,0,1,0
Do Freemasons allow Catholics into their fraternity?,1,0,0,0,0,0
How would global agriculture change if plants no longer needed sunlight to grow?,0,0,0,0,1,0
Compared to the rest of the US does Alaska have many or few road connections?,1,0,0,0,0,0
When was Suez canal completed?,0,1,0,0,0,0
Why were early mammals active at night?,0,0,0,1,0,0
Why did the USAF change its training methods on UAVs in 2014?,0,0,0,1,0,0
Why were LaserDiscs more popular in Japan?,0,0,0,1,0,0
Which branch of government denied the UNFPA funding?,0,1,0,0,0,0
Did that ever happen?,1,0,0,0,0,0
Are the minority of CDPs connected or disconnected from the North American road network?,1,0,0,0,0,0
Why did Hume say we expect the sun to rise?,0,0,0,1,0,0
Did the Austrians retain Glatz?,1,0,0,0,0,0
What enhances man's faith in God according to Albertus Magnus?,0,1,0,0,0,0
Why are some Bermudians against the emphasis of West Indies cultural connections?,0,0,0,1,0,0
In the 1800 election why did Thomas Jefferson get the second vote?,0,0,0,1,0,0
What kind of writing did Geza Vermes usually produce?,0,1,0,0,0,0
What were Picasso's 1970 paintings usually characterized by?,0,1,0,0,0,0
Why did development projects start in Algeria and Tunisia?,0,0,0,1,0,0
Why was he indentured for life?,0,0,0,1,0,0
Where did Spielberg's paternal grandparents immigrate from?,0,1,0,0,0,0
Why are district level associations created?,0,0,0,1,0,0
Name 3 artists that CBS Associated Records signed in the 80s and 90s?,0,0,1,0,0,0
Does the Parliamentary Assembly have any kinds of legislative authority?,1,0,0,0,0,0
Did the people want Athanasius as their bishop?,1,0,0,0,0,0
Was it in the US or Canada that Witnesses first gained the right to abstain from patriotic rituals?,0,1,0,0,0,0
Why is this not determined in a patient with COPD?,0,0,0,1,0,0
Has the world seen much or little change in TVD observation?,0,0,0,0,0,1
Name a player who usually receives the first possession of the ball?,0,0,1,0,0,0
Is it true that the first cubist image is Les Demoiselles?,1,0,0,0,0,0
The CRTC requested that the CBC negotiate with this station in order to extend their contract?,0,0,0,0,0,1
Who sent men to the Dardanelles?,0,1,0,0,0,0
Does botany only study plants?,0,1,0,0,0,0
Give an example of an animal that will travel several miles in a single day.,0,1,0,0,0,0
Are all domesticated and wild birds classified as poultry?,1,0,0,0,0,0
Why did South Africa make this list?,0,0,0,1,0,0
Do some poultry varieties have more dark meat than others?,1,0,0,0,0,0
Why was there a photo of the Boardwalk if it wasn't actually damaged in the storm?,0,0,0,1,0,0
Are the majority snate leaders more influential than the Speaker of the House?,1,0,0,0,0,0
Does a standard open wireless mesh make installation more difficult?,1,0,0,0,0,0
Is USB cheaper or more expensive than PoE?,1,0,0,0,0,0
What is the smallest airport in the London area?,0,1,0,0,0,0
Why were the hackers untraceable?,0,0,0,1,0,0
Why was Victorias eyesight clouded?,0,0,0,1,0,0
Is alcohol use a positive or negative emotion control mechanism?,1,0,0,0,0,0
Intraguild species may try to consume each other because they are?,0,0,0,1,0,0
Did the five clubs think this was a good idea?,1,0,0,0,0,0
Is neoclassical design current in Britain?,1,0,0,0,0,0
Why were DeLay and Hastert considered second-ranking in the House in 2010?,0,0,0,1,0,0
Can the new clubs play too?,1,0,0,0,0,0
Did the earthquake or resulting tsunamis and landslides do the least damage to Alaskan communities?,0,0,0,1,0,0
Why did the Chinese ultimately fail in its counter offensives?,0,0,0,1,0,0
"After the Pitt Act, the Crown began to focus more on the efforts of its people in its territories?",0,0,0,0,0,1
Did all AV receivers carry the demodulator circuits necessary for LaserDiscs or only high-end models?,0,1,0,0,0,0
Why was South Korea important to the US?,0,0,0,1,0,0
Were the European empires satisfied or unsatisfied by the Treaty of Nanjing?,0,0,0,1,0,0
Why is the factor of 78 avoided?,0,0,0,1,0,0
In 2006 did most people prefer the Xbox or PS2 versions of cross-platform games?,0,1,0,0,0,0
Name one Asian architectural writer.,0,1,0,0,0,0
Are the 1800s called?,0,0,1,0,0,0
Why did post-punk artists never produce and release their own music?,0,0,0,1,0,0
Do lifestyle changes certainly have an effect on long-term memory?,0,0,0,0,0,1
Do official political parties exist in a nonpartisan system?,1,0,0,0,0,0
Did CBC broadcast more or less live Olympic events than NBC?,0,0,0,0,0,1
Why would all the remaining stores of lard butter and meat left at vastenavond be eaten?,0,0,0,1,0,0
Do shift values for symbols on modern keyboards correspond closely to the ASCII table?,1,0,0,0,0,0
Do the roots and shoots need each other?,0,0,0,0,0,1
How much did Madonna make in all her concerts together?,0,1,0,0,0,0
What agreement did foreign investors sign in 2006?,0,1,0,0,0,0
Did only Christians go to school?,1,0,0,0,0,0
How many immigrants lived in these tent cities?,0,1,0,0,0,0
Why are chickens unable to fly?,0,0,0,1,0,0
Wha was the executive producer of Pop Idol in 2001?,0,1,0,0,0,0
Why did Burke say he acquiesced to his constituents?,0,0,0,1,0,0
Why is gold vital to the people of Mali?,0,0,0,1,0,0
Name one way Jewish cultural expressions differ in each community?,0,0,1,0,0,0
Name one of the people considered to be the founding fathers of modern Cypriot art.,0,0,1,0,0,0
Is harder heavier wood indicated by narrower or wider growth rings?,1,0,0,0,0,0
Can cause for most pathogenic diseases be found soon?,0,0,0,1,0,0
The CBC lost customers due to their practice of doing this?,0,0,0,0,0,1
Does chicken contain fat?,1,0,0,0,0,0
Under glass making conditions were the children exposed to any heating elements?,0,1,0,0,0,0
Does the Liberal Party of Australia consider itself liberal or anti-socialist?,0,0,0,0,0,1
Why would France want to invade Hanover?,0,0,0,1,0,0
Was the GDP in 2013 an increase or decrease over 2012's levels?,1,0,0,0,0,0
Did Barrie Ontario lose the signal for CBC Radio-Canada or both?,1,0,0,0,0,0
Why did teletype have extra spaces for 'rubout'?,0,0,0,1,0,0
What does the Football Association say about the management of the Premier League?,0,1,0,0,0,0
Why can't Koch's postulates be applied ethically for many human diseases?,0,0,0,1,0,0
The right engine system currently allows,0,0,0,0,0,1
Why did other students often tease Napoleon?,0,0,0,1,0,0
The two houses in England are the House of Luck and?,0,0,1,0,0,0
Did the Rockingham Whigs ever regain power as a opposition to the government?,0,0,0,0,0,1
Why do critics prefer geographically similar witnesses?,0,0,0,1,0,0
Do adolescents associate with large-scale or small-scale 'cricks'?,0,0,0,0,0,1
According to Brian Cowan was learning more or less formal in cafes as opposed to private institutions?,0,0,0,0,0,1
Why does hunting take place in Nordic countries today?,0,0,0,1,0,0
Why didn't LaserDisk gain popularity in North America?,0,0,0,1,0,0
The highest ranking person's title in British india is?,0,1,0,0,0,0
Did the bishops consider themselves to be Iranians?,1,0,0,0,0,0
Was Gorton impeached voted out or did he resign?,0,0,0,1,0,0
In which U.S. state was the oldest definitive evidence of TB found?,0,1,0,0,0,0
Why is the use of rifles often banned?,0,0,0,1,0,0
List two alternatives to rotary-step engines in non-print applications.,0,0,1,0,0,0
What GE employee developed the visible-spectrum LED?,0,1,0,0,0,0
Did Charlemagne's expansion of the Frankish empire bring about a brief period of upheaval or stability in Francia?,0,0,0,1,0,0
"And if the magnetic poles of Earth were to reverse tomorrow, how would this affect global technology?",0,0,0,0,1,0
What was the location of the first store?,0,1,0,0,0,0
Did the CIA confirm knowledge of Gaddafi's upcoming coup?,1,0,0,0,0,0
Are condominiums and apartment buildings more common in the metropolitan area or outside the city?,0,0,0,0,0,1
Why was insulin therapy delayed?,0,0,0,1,0,0
Are footnotes included in the copyright of the original work?,1,0,0,0,0,0
Is Thailand treated differently than other Axis countries?,1,0,0,0,0,0
Insects have specialized organs of what kind?,0,1,0,0,0,0
"By having three members of the British government's Calcutta Council, they have always been able to ____ the two members of the EIC?",0,0,0,0,0,1
Why was dBASE unique?,0,1,0,0,0,0
Is all work done by children considered to be child labour?,1,0,0,0,0,0
Operation as a luminaire support can provide directed light and avoid?,0,0,0,0,0,1
Why could one judge reject another judge's opinion?,0,0,0,1,0,0
The system was able to provide positioning data between 55 S to 55 N latitude and ______ longitude?,0,0,0,0,0,1
What if all humans had the ability to learn languages instantaneously how would this affect cultural exchanges?,0,0,0,0,1,0
The county's first football team is ,0,0,0,0,0,1
Why have later generations always admired the Nara period?,0,0,0,1,0,0
Why was the new iMac G4 considerably more expensive than the G3?,0,0,0,1,0,0
Has Austria recovered Silesia?,1,0,0,0,0,0
Have researchers learned anything studying plasticity?,0,1,0,0,0,0
Who referred to 'Suez Syndrome'?,0,1,0,0,0,0
Why has the rabbit increased in numbers as of late?,0,0,0,1,0,0
Is a tradeoff between efficiency and cost possible?,1,0,0,0,0,0
Why did local governments establish research?,0,0,0,1,0,0
"While in the EIC army, the British officer surpasses the Indian officer they both promoted on the base?",0,0,0,0,0,1
Is the percentage of admixture in Ashkenazi's modern genome higher or lower than previously thought?,0,0,0,0,0,1
What meetings do Minority and Majority leaders usually meet to discuss?,0,1,0,0,0,0
Does cold or hot air facilitate the transport of water vapour?,1,0,0,0,0,0
Name a type of music from the 70's that influenced the nation?,0,0,1,0,0,0
Why are older neighborhoods in San Francisco popular with cyclists?,0,0,0,1,0,0
Why did so many schools collapse during the earthquake?,0,0,0,1,0,0
Is creating endospore a reproductive process?,1,0,0,0,0,0
Why was dBASE successful?,0,0,0,1,0,0
Why does the General Post Office have a curved shape?,0,0,0,1,0,0
Why did Blair side with Bush?,0,0,0,1,0,0
What old technology was unable to be used to connect to the Internet?,0,1,0,0,0,0
Between two of its rivers lies a district with a heavy immigrant population the name is?,0,1,0,0,0,0
Has anyone ever missed a tournament?,1,0,0,0,0,0
Why are there differences in ancient copies of the same text?,0,0,0,1,0,0
What if all governments adopt a policy of radical transparency in what way would this affect public confidence?,0,0,0,0,1,0
Why did the use of 'African' become an issue?,0,0,0,1,0,0
Does everyone agree on the credit that should be given for the story of Mary's inception?,0,0,0,0,0,1
In nature this is an essential substance?,0,1,0,0,0,0
Have transfer fees been increasing over the past years?,0,1,0,0,0,0
Is streaming the television series the same day that premieres,1,0,0,0,0,0
Name another language that Common Slavic can be written in besides Serbian Cyrillic?,0,1,0,0,0,0
Do domestic and wild geese have the same appearance?,1,0,0,0,0,0
Why did Gaddafi drop out of college?,0,0,0,1,0,0
Why was Christ in majesty protected from the iconoclastic destruction?,0,0,0,1,0,0
Are girls who reach early sexual maturation more or less likely to develop dietary deodorants?,0,0,0,0,1,0
Is poultry available in different forms?,1,0,0,0,0,0
Why is there a minimal risk of sunny dry or stable weather?,0,0,0,1,0,0
Is H2 reactive in standard conditions?,1,0,0,0,0,0
Does self-examination begin sooner or later in adolescence?,0,0,0,0,0,1
What if all governments adopted a policy of radical transparency how would this affect public trust?,0,0,0,0,1,0
Do the poor families put a value on education?,1,0,0,0,0,0
Was Samoa aided or injured by political upheavals in the countries around it?,1,0,0,0,0,0
Did Piaget believe that cognitive improvement was sudden and drastic or slow and steadied?,0,0,0,1,0,0
Are cocoa beans grown in Samoa of high or low quality?,1,0,0,0,0,0
What would be the impact on wildlife conservation if animals could communicate their needs to humans?,0,0,0,0,1,0
Tito did not attend the second meeting of this.,0,0,0,0,0,1
How would personal relationships change if humans could read each other's thoughts?,0,0,0,0,1,0
In the last 50-60 years have more or less Ashkenazi Jews intermarried with people outside of their community?,0,0,0,1,0,0
Can the members of the lower house be elected directly or indirectly? ,0,0,0,1,0,0
Has the joining brought about any changes in the region ?,0,0,0,0,0,1
Does the Government of Ireland's London embassy use the name British Isles?,1,0,0,0,0,0
How many bus lines does the STIF oversee?,0,1,0,0,0,0
In which type of government is the leader elected?,0,0,0,1,0,0
When did Yugoslavia change its name to the Socialist Federal Republic of Yugoslavia?,0,1,0,0,0,0
Is there metabolism in the endospores?,1,0,0,0,0,0
Did other countries actively participate in activities that first rang a bell to start in the winter of 2014 in Myanmar?,1,0,0,0,0,0
During the second half of what century did the Burke and Wills expedition give an indication of immigration flows?,0,1,0,0,0,0
Why did Zhangzhou peasants travel southwards?,0,0,0,1,0,0
Why did the Mongol princes ask for titles?,0,0,0,1,0,0
Did they crash into the eastern or western part of the Pentagon?,0,0,0,1,0,0
Portions of what modern-day borough were included in the County of New York?,0,1,0,0,0,0
When was Houston Baptist University founded?,0,1,0,0,0,0
Why did Spain give part of Catalonia to France?,0,0,0,1,0,0
How often is Politics & Policy not published?,0,0,0,1,0,0
If diarrhea is stopped what could happen?,0,1,0,0,0,0
name an event that can be contributed to the revolution.,0,0,0,1,0,0
Why are herds of deer starting to enter residential areas in London?,0,0,0,1,0,0
Why do selective pressures favor arctic environments?,0,0,0,1,0,0
Has service ever been restored?,1,0,0,0,0,0
Why did the total investment in renewable energy go down in 2002?,0,0,0,1,0,0
Do the Docklands St. Kilda Road and Southbank areas feature high-density or low-density forms?,0,1,0,0,0,0
Why did Britain adopt the role of Global Policemen?,0,0,0,1,0,0
Which population groups have been excluded from most institutions in the public sphere?,0,0,0,0,0,1
Why was this drug pulled off shelves?,0,0,0,1,0,0
Is it acceptable to drink alcohol while taking risks?,1,0,0,0,0,0
Why are children from suburban communities more likely to participate in activities that benefit their identity?,0,0,0,1,0,0
Are the bacteria alive or dead in the caseal necrotic material?,1,0,0,0,0,0
Has the cause for sexual orientation been found yet?,0,1,0,0,0,0
Are any of the structures that were built at that time still around?,0,0,0,0,0,1
Blue Dragon surpassed this sales figure in Japan?,0,1,0,0,0,0
Do I need a stadium to compete?,1,0,0,0,0,0
Does ending child labour have a global value?,0,0,0,1,0,0
What would be the consequences for biodiversity if bees became extinct?,0,0,0,0,1,0
Why does time have international value?,0,0,0,1,0,0
Name a second generation technology ready for commercialization.,0,0,1,0,0,0
Why are different materials used in a lab than are used in the environment?,0,0,0,1,0,0
Who invented the slide ruler?,0,1,0,0,0,0
Can an ACLs limit access to one person?,0,1,0,0,0,0
People prefer CBS's coverage of sports for this reason?,1,0,0,0,0,0
Why did Dorgon keep Beijing as his capital?,0,0,0,1,0,0
Do all societies use the term 'black' the same?,1,0,0,0,0,0
Does the minority or majority party have more leadership positions in House?,0,0,0,1,0,0
Why did the Japanese begin to breed quails in the 16th century?,0,0,0,1,0,0
Any mosaic having secular designs were likely what?,0,1,0,0,0,0
Why causes antioxidant strength to be higher in purple grapes?,0,0,0,1,0,0
Did all hold title of nobility?,1,0,0,0,0,0
When was the torch relay event held in Macao?,0,1,0,0,0,0
Who was the Duchess' comptroller and cohort?,0,1,0,0,0,0
Which New England city did Feynman visit his wife in?,0,1,0,0,0,0
Do lifestyle changes definitely have an affect on long term memory?,0,0,0,0,0,1
Species that rely on few or a single prey are called?,0,1,0,0,0,0
Name Philidelphia's largest park?,0,1,0,0,0,0
Are flow-throughs so important to the Premier League?,1,0,0,0,0,0
Did critics call the painting 'Virgil Reading the Aeneid' a great success or a failure?,0,1,0,0,0,0
Who was Dave Finlay often helped by?,0,1,0,0,0,0
Was the Chopin family boarding house for male or female students?,0,0,0,0,0,1
Name another race in florida ,0,0,1,0,0,0
For how many years did David Baker serve as commissioner of the AFL?,0,1,0,0,0,0
Why does Ashkenazim represent the overwhelming majority of Jews in the New World continents?,0,0,0,1,0,0
Are there any differences between students for the time period?,1,0,0,0,0,0
What was the emphasis early on?,0,1,0,0,0,0
When was the first Kingdom of Israel established?,0,1,0,0,0,0
Why was the YouTube site first launched in 2010?,0,0,0,1,0,0
Are the changes then presented permanent?,1,0,0,0,0,0
Is I-91 similar to I-95 in terms of bad traffic?,1,0,0,0,0,0
Since knots are defects that weaken lumber would the heartwood or the sapwood from the same tree be stronger?,0,1,0,0,0,0
Does England have its own parliament?,1,0,0,0,0,0
Has the travel industry considered making changes to fight plans for Myanmar?,0,1,0,0,0,0
What is unique green's wavelength?,0,1,0,0,0,0
Why did San Diego lose its pueblo status in 1883?,0,0,0,1,0,0
Why was a subject ordered to appear to Pop-Tanning in old trousers?,0,1,0,0,0,0
Do males or females appear physically mature before they are capable of reproduction?,0,1,0,0,0,0
Are the albums already reproduced?,1,0,0,0,0,0
In 2006 did most people prefer the Xbox 360 or PS3 versions of cross-platform games?,1,0,0,0,0,0
Why is a 'this car leaving next' sign used?,0,0,0,1,0,0
Why didn't they move to Dublin?,0,0,0,1,0,0
Why did weeds grow with human crops?,0,0,0,1,0,0
Name a few car manufacturers in the city of Ann Arbor,0,0,1,0,0,0
Are parties required to reveal their funding?,1,0,0,0,0,0
The CRTC encouraged the use of this system to keep signals on-line?,1,0,0,0,0,0
Did Europeans speak Spanish in America?,1,0,0,0,0,0
Identify a major factor in this feckless strategy by France of not defending its colonies with enthusiasm?,0,0,0,1,0,0
Does the IHDI measure the 'average' or the 'potential' level of human development?,0,1,0,0,0,0
Did Mendelssohn and Spinoza judge religion on its moral fruits or its logic of theology?,0,0,0,0,0,1
Why were many killed in Underground Stations?,0,0,0,1,0,0
Are antibiotics used in diarrhea instances?,1,0,0,0,0,0
Are there other parts of America where Venezuelans are located?,1,0,0,0,0,0
Why are these rules rewarded?,0,0,0,1,0,0
Why is duck more common than other poultry in the east society??,0,0,0,1,0,0
Why might Sony have reduced the number of ports on the PlayStation 3 before production?,0,0,0,1,0,0
The CBC planned to take the CRTC to court citing the superiority of this type of coverage?,0,0,0,0,0,1
Why are the buildings so shoddily built?,0,0,0,1,0,0
Why are some foreign characters rarely used?,0,0,0,1,0,0
Do all jurisdictions require that the permit be displayed in the elevator?,1,0,0,0,0,0
Is wood production of a tree lessened or increased as it ages?,1,0,0,0,0,0
Why was France mad at the British-Prussian agreement?,0,0,0,1,0,0
What new security features does Windows 9 have?,0,1,0,0,0,0
Do theories say if Destot's bones were fractured?,1,0,0,0,0,0
Is H2 reactive under normal conditions?,1,0,0,0,0,0
Why was the book taken seriously even though much of the response was hostile?,0,0,0,1,0,0
Why did Britain not want Elizabeth to associate with conscientious objectors?,0,0,0,1,0,0
Do Bantams lay eggs of regular size?,1,0,0,0,0,0
Where were these new inhabitants welcomed?,0,0,0,0,0,1
Who was responsible for the creation of the Duchy of Warsaw?,0,1,0,0,0,0
Which Soyuz mission in December 1974 was to be used for the ASTP?,0,1,0,0,0,0
Did the terms Enlightenment Aufklarung and Illuminismo refer to separate or overlapping movements?,1,0,0,0,0,0
Why were alternative energy sources judged uneconomical in 2010?,0,0,0,1,0,0
The CCA would not allow the CBC to broadcast unless they allowed this type of viewing?,0,0,0,1,0,0
Do States have access to the JISC?,1,0,0,0,0,0
Why is efficiency never lost in phosphor-based LEDs?,0,0,0,1,0,0
Name a university located in the city?,0,0,1,0,0,0
Are there unacademic programs in Yale's residential colleges?,1,0,0,0,0,0
Did that happen?,1,0,0,0,0,0
Is the use of Royal Assent common or rare in today's societies?,1,0,0,0,0,0
"Operating as a support, a luminaire can provide directed light and avoid what?",0,0,0,0,0,1
Why wasn't there a need to redesign the LaserDisc format to prevent piracy?,0,0,0,1,0,0
Is there anyone automatically eligible?,1,0,0,0,0,0
Name two works that are often the subject of a variorum.,0,0,1,0,0,0
Does the IHDI measure the 'abnormal' or the 'lack of potential' level of human development?,0,1,0,0,0,0
When did the mandolin leave Crete?,0,1,0,0,0,0
Did the visit to the United States result in the release of political prisoners in Burma?,0,0,0,1,0,0
As a tree ages do its growth rings usually get wider or narrower?,0,1,0,0,0,0
Which British city was nicknamed 'Cottonopolis' because of its cotton production?,0,1,0,0,0,0
Does the Government of Myanmar welcome international assistance efforts?,1,0,0,0,0,0
This species relies on other species to provide a reproductive host for their offspring.,0,1,0,0,0,0
Are certain parts of the bird used for special reasons with respect to recipes?,1,0,0,0,0,0
Why did Feynman go through a depression?,0,0,0,1,0,0
Why have poachers killed endangered animals?,0,0,0,1,0,0
In what year was the Clinical Education Program ranked 4th in the nation?,0,1,0,0,0,0
Why do Muslim Masonics believe that the Freemasons want to destroy the Al-Aqsa Mosque?,0,0,0,1,0,0
Did all the Arians believe the same things?,0,0,0,0,0,1
Why do madaris extend enrollment to rich children?,0,0,0,1,0,0
Why overhead wires are not being widely used?,0,0,0,1,0,0
Who said the Reflections were 'the manifesto of a Counter Revolution'?,0,1,0,0,0,0
Is Israel considered a safe state for the Egyptians?,1,0,0,0,0,0
Do males or females appear physically mature before being able to reproduce?,1,0,0,0,0,0
Ban Ki-moon states that renewable energy has the ability to lift the richest nations to new levels of prosperity?,0,1,0,0,0,0
Antigen cells in newborns also find it difficult to do so?,0,0,0,0,0,1
Are there reasons for the dark meat that poultry has?,0,1,0,0,0,0
Can the name of a certain bulb shape vary?,1,0,0,0,0,0
Had vinyl technology ceased expanding?,1,0,0,0,0,0
Were the Arians united in their oppostion?,0,0,0,0,0,1
Why did Hartshorne feel that God must not be affected by people?,0,0,0,1,0,0
Why was the Kaaba built?,0,0,0,1,0,0
Is there any structural damage associated with oral food intake?,1,0,0,0,0,0
In developing countries is it common for children to attend fewer or greater years of formal schooling?,0,1,0,0,0,0
Are the Ewell's considered rich or poor?,0,1,0,0,0,0
How many states in the UN do not have sales tax?,0,1,0,0,0,0
Do people bet on the cockfighting or is it just for entertainment?,1,0,0,0,0,0
Are the big cats in the jungle part of Burma's animal population?,1,0,0,0,0,0
What military occupation wasn't opened to men until the 2000s?,0,1,0,0,0,0
Is a downtown or crime-motivated neighbourhood more or less likely to interfere with its development?,1,0,0,0,0,0
Why was Athanasius ordered to continue baptising?,0,0,0,1,0,0
Extremely bright lights used to deter crime are called?,0,1,0,0,0,0
Did the bishops consider themselves Arians?,0,0,0,1,0,0
Did he think that the people who had exiled him were true believers?,1,0,0,0,0,0
Can people in New Zealand vote for the 51st State Party?,1,0,0,0,0,0
Did the club later regret to withdraw from the Club World Championship?,1,0,0,0,0,0
Why did the Luftwaffe bomb the RAF Fighter Command?,0,0,0,1,0,0
Why did Darwin wonder why all of nature isn't chaotic and random?,0,0,0,1,0,0
Why do madaris extend enrollment to children of less fortunate circumstances?,0,0,0,1,0,0
Are the three segments of 122nd Street contiguous or not contiguous?,0,0,0,0,0,1
